timestamp,faulty,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
0,True,-34.99174,-35.46017,-40.97456,-34.966724,-34.476635,-39.843697,-41.393166,-42.58706,-37.933205,-40.443707,-39.977776,-43.081192,-43.733055,-45.19809,-40.775166,-40.188656,-41.30275,-42.002434,-44.5161,-44.32699,-47.01056,-47.50245,-47.595383,-49.569695,-53.02884,-50.884033,-50.98362,-56.33211,-55.76943,-58.352364,-59.24457,-62.58734
32,True,-33.73546,-32.55456,-38.778465,-34.685947,-34.056904,-35.740524,-36.183586,-37.04903,-39.06205,-35.185585,-35.70549,-40.575462,-41.954838,-41.574905,-36.62676,-37.598274,-40.017982,-38.726994,-41.902275,-40.57196,-42.61614,-42.926594,-48.143444,-46.18649,-48.35916,-49.688396,-49.786392,-51.894203,-52.605118,-55.830036,-57.479702,-59.51111
64,True,-27.32389,-29.008656,-34.07745,-31.593407,-35.184364,-34.525726,-33.759937,-35.036,-38.082752,-36.649765,-35.641953,-39.7367,-39.94515,-39.154133,-38.8681,-36.780296,-40.578354,-39.59906,-40.9694,-41.355164,-42.56923,-43.516907,-45.5569,-45.36946,-48.544598,-47.714115,-49.334938,-51.36477,-53.10267,-55.235325,-57.862736,-59.166645
96,True,-28.9868,-33.573177,-33.48622,-29.1646,-31.162502,-38.401844,-39.85217,-35.687397,-35.674168,-36.18681,-38.686604,-41.155815,-41.36726,-38.534878,-37.64971,-38.800526,-41.289097,-40.5017,-38.37206,-40.228127,-43.8793,-44.238354,-44.25625,-45.290836,-48.26895,-50.17332,-48.396526,-50.525623,-51.45582,-55.191658,-56.59314,-58.010487
128,True,-28.27733,-30.159433,-35.211525,-32.969246,-33.398968,-37.450603,-39.461197,-34.485954,-33.062355,-34.238426,-36.8049,-38.753403,-39.11754,-38.864765,-36.56856,-35.775208,-37.92379,-38.267673,-38.67984,-37.57486,-43.101994,-43.8242,-46.070866,-48.279194,-46.246445,-48.450607,-48.960983,-50.384754,-52.165085,-53.59983,-57.547943,-58.062443
160,True,-27.661886,-30.395512,-34.43326,-29.003094,-33.281292,-37.443256,-35.57566,-36.380287,-33.990494,-36.48518,-35.103333,-39.69448,-40.13127,-39.625286,-39.217026,-36.962437,-37.13474,-36.44509,-41.357437,-38.34145,-40.79998,-39.68364,-46.13681,-47.61608,-45.35381,-47.786564,-48.894043,-51.39434,-51.038136,-55.527115,-56.993183,-57.120953
192,True,-28.554111,-30.630913,-36.21143,-29.798233,-32.597595,-36.302387,-34.783764,-33.042072,-35.292545,-38.571705,-42.73934,-41.20676,-38.97658,-38.232826,-37.36607,-40.833015,-38.648,-36.0101,-41.270386,-37.736023,-40.12451,-43.35888,-43.97553,-47.39913,-47.786007,-47.97218,-48.120888,-51.006145,-53.6223,-54.604763,-55.959568,-58.55932
224,True,-28.983252,-30.619928,-34.5787,-36.240265,-34.77432,-33.268463,-38.247143,-37.339157,-34.306343,-36.296238,-36.16333,-40.35847,-37.74949,-39.40646,-38.324776,-35.616985,-38.60493,-37.047386,-40.072174,-40.503098,-43.52831,-42.170746,-42.198257,-46.499016,-46.628944,-48.644226,-48.409748,-48.71803,-52.891342,-57.03667,-56.820244,-57.192993
256,True,-35.8507,-37.668568,-34.720604,-32.94151,-34.720356,-36.021275,-35.889664,-35.208363,-35.210934,-36.17703,-37.58955,-39.635693,-40.546246,-40.276203,-36.555576,-38.202618,-39.0665,-39.39609,-39.113873,-37.274208,-40.870438,-44.993534,-43.130173,-47.13192,-46.214027,-47.98931,-48.504593,-50.306812,-52.69636,-55.47079,-58.319416,-59.2331
288,True,-28.822805,-32.718906,-37.20105,-32.33495,-30.630539,-34.666843,-35.458557,-33.63801,-34.06243,-33.95514,-34.73925,-39.475533,-40.51536,-39.622616,-36.588943,-38.41109,-36.634296,-36.816196,-40.662365,-37.694572,-41.454475,-42.15245,-42.99916,-45.896526,-47.64912,-47.373978,-49.275135,-52.20038,-52.572487,-56.06125,-57.18004,-56.41718
