timestamp,faulty,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31
0,False,-25.979782,-24.839474,-33.601376,-30.250063,-35.463448,-45.02237,-43.523163,-37.53622,-30.798456,-39.798058,-40.75726,-42.857914,-45.907753,-49.72039,-53.005165,-40.787117,-47.198097,-53.538765,-52.147125,-57.263187,-56.522633,-57.19578,-60.21111,-60.753746,-58.24802,-60.036346,-58.40143,-60.608505,-60.857094,-59.70535,-59.357735,-62.488293
32,False,-23.155697,-24.695337,-31.60816,-27.45598,-37.002388,-38.503117,-38.25316,-30.882427,-20.823814,-34.664646,-42.598377,-43.36026,-43.189564,-49.638306,-49.308456,-41.12906,-48.063766,-51.417435,-52.30715,-52.47993,-54.329483,-53.902733,-54.492226,-54.70545,-54.736954,-55.29165,-55.671913,-58.378807,-58.25615,-59.285767,-58.294846,-58.930916
64,False,-22.612143,-24.146261,-33.032177,-29.754234,-35.23817,-40.07596,-42.581104,-29.659431,-24.149733,-39.73507,-43.960526,-41.261055,-37.442513,-45.28565,-46.360054,-44.877403,-46.50128,-52.65114,-51.36898,-53.014137,-57.55901,-56.95276,-57.1836,-57.215797,-56.772236,-55.34221,-55.000607,-58.145027,-58.256798,-58.35845,-57.6692,-60.055435
96,False,-21.021408,-20.898428,-33.63995,-33.54974,-38.888954,-41.350235,-39.586,-36.195644,-33.45479,-40.260864,-43.542076,-45.69072,-42.24262,-48.16525,-50.453217,-43.339977,-49.240974,-52.526924,-52.593216,-52.976208,-54.193157,-55.226227,-57.587914,-57.596367,-56.038265,-57.95042,-55.461098,-57.6669,-58.87227,-59.177357,-60.758278,-59.420517
128,False,-24.897032,-27.595345,-34.56628,-32.399918,-37.374527,-38.82478,-35.894142,-35.14319,-28.237684,-40.273163,-44.206497,-40.507706,-39.371517,-47.55958,-46.46685,-39.53331,-46.281734,-54.947567,-53.245434,-53.496536,-54.842064,-54.333973,-56.686836,-56.102577,-53.920418,-55.38562,-56.36326,-58.17096,-58.868668,-59.204235,-59.13946,-59.877182
160,False,-23.806513,-23.350065,-30.40838,-22.840885,-28.484348,-31.796381,-25.602818,-22.227306,-22.440632,-32.605812,-28.244835,-23.990227,-23.744267,-22.402317,-22.755737,-19.203915,-22.037369,-25.108158,-30.634222,-36.1525,-29.915897,-30.00397,-28.425934,-30.516869,-28.123684,-26.904575,-29.785997,-23.77166,-18.599398,-19.428295,-24.505833,-23.31854
192,False,-23.286037,-22.729763,-28.406889,-25.44753,-33.34773,-28.058311,-30.352266,-28.052189,-28.600843,-35.092815,-32.187485,-32.741886,-31.987816,-29.729298,-32.465057,-28.20531,-33.901882,-36.87603,-36.66882,-41.264557,-39.395756,-37.416294,-40.7291,-40.96714,-38.30101,-35.68806,-37.14891,-35.19545,-30.478842,-32.365513,-36.619,-38.122704
224,False,-23.068216,-25.36377,-31.332481,-29.339064,-35.98198,-36.69017,-36.55645,-32.215626,-32.607616,-39.682423,-41.68506,-38.26512,-36.016197,-35.154846,-38.724323,-38.34796,-41.333313,-42.59691,-42.823563,-48.51747,-45.233154,-42.662712,-44.987278,-46.702164,-45.232616,-40.838684,-42.1011,-42.709908,-38.195683,-39.070347,-45.339184,-47.00962
256,False,-26.131073,-24.803179,-32.96841,-32.734905,-37.191616,-35.57366,-34.221676,-32.853413,-28.42953,-43.138214,-42.79567,-41.94274,-42.125748,-39.493683,-40.363747,-38.64513,-41.685963,-45.977665,-50.442944,-49.346092,-49.113777,-46.774002,-48.89149,-49.29447,-47.47509,-45.70704,-45.350044,-43.67061,-40.488144,-43.65158,-49.114155,-51.853233
288,False,-24.43441,-24.999256,-33.51841,-37.1461,-37.12394,-41.285156,-39.374577,-32.285805,-25.861532,-38.982346,-43.143467,-40.22773,-37.62737,-46.54529,-45.56583,-38.97645,-43.420834,-45.83418,-48.172867,-50.46631,-48.412113,-49.291786,-51.59633,-54.091263,-51.79817,-47.913635,-48.19732,-48.18273,-46.558876,-47.765015,-53.033104,-56.166645
320,False,-24.820065,-27.534424,-33.35123,-26.630201,-30.488335,-34.812054,-31.467617,-26.517553,-22.351263,-33.160694,-37.812603,-38.44133,-41.364464,-41.564297,-38.02946,-39.819378,-47.23648,-48.32952,-43.49957,-44.19718,-47.0479,-43.65059,-48.609077,-49.139412,-50.5533,-50.929104,-52.0344,-52.203682,-48.497776,-50.94722,-56.559395,-55.642746
352,False,-27.539948,-29.236013,-33.48435,-35.854218,-35.77452,-37.97569,-36.961426,-27.246464,-20.30194,-34.550014,-41.995007,-41.21197,-39.798615,-44.004623,-42.89002,-43.323837,-46.872005,-46.078487,-47.21792,-49.518394,-50.267223,-47.476753,-51.438923,-52.028103,-52.235687,-53.73169,-53.714607,-54.283394,-52.744835,-53.96584,-55.96,-58.435524
384,False,-27.436934,-27.362095,-33.900692,-36.03081,-36.010708,-35.81358,-37.228424,-31.99678,-24.333717,-37.250134,-41.48922,-43.589092,-39.436592,-42.222904,-42.05443,-40.692463,-47.474995,-47.428127,-51.351738,-51.17603,-52.334194,-49.69198,-53.910805,-52.210384,-55.27821,-53.446957,-54.633503,-57.505344,-57.51671,-58.373703,-57.160294,-58.811207
416,False,-27.240503,-26.239876,-32.428135,-32.033123,-34.067318,-38.474384,-37.774075,-30.36531,-23.254257,-34.891598,-41.84567,-42.33168,-40.685028,-45.107872,-45.43817,-38.574986,-45.87979,-51.00304,-50.418625,-52.59185,-54.85565,-52.746998,-55.20742,-53.782745,-54.683834,-55.555534,-55.974678,-57.469604,-57.899033,-57.845646,-57.95836,-59.53305
448,False,-28.943829,-30.123478,-33.464302,-31.60244,-36.23317,-40.69134,-39.64083,-34.113697,-28.616959,-40.745144,-42.14951,-42.67322,-43.77499,-46.47239,-44.839016,-41.667614,-48.08602,-52.189423,-51.673492,-54.22524,-51.940918,-52.300163,-55.767094,-55.961666,-54.975338,-57.30462,-56.448437,-57.59418,-57.168457,-60.582157,-58.768707,-60.084614
480,False,-26.721493,-28.377504,-37.22738,-34.28466,-36.955254,-40.31401,-39.015984,-28.327713,-20.420284,-36.549156,-40.83529,-42.033367,-40.024155,-47.53815,-45.933556,-35.616577,-44.70352,-51.63332,-52.75799,-52.77427,-53.857307,-55.103348,-55.403103,-55.07475,-55.38479,-56.295456,-56.223747,-58.36546,-57.88151,-58.584854,-57.768982,-60.327717
512,False,-27.721226,-30.278318,-36.862923,-34.474365,-36.969563,-37.87357,-35.55395,-29.644575,-21.437622,-37.497925,-43.744957,-44.955025,-43.463383,-46.099186,-44.506813,-37.684402,-47.661762,-50.81409,-52.533115,-52.951576,-53.353867,-54.138866,-58.040764,-57.23556,-55.2771,-57.33307,-55.977726,-58.384933,-59.017418,-58.57688,-58.986935,-61.84646
544,False,-24.87151,-23.20463,-32.696053,-32.80458,-33.824966,-38.24697,-35.734093,-32.39822,-23.228489,-35.980404,-41.73439,-40.812637,-42.018578,-47.333378,-47.15291,-40.11673,-48.02805,-48.738766,-51.162914,-54.108513,-53.32827,-53.628235,-57.311325,-57.186512,-57.4638,-56.676212,-56.2376,-58.016327,-59.430832,-59.683235,-58.546368,-59.24312
576,False,-24.80445,-28.557083,-33.122055,-34.442806,-35.27367,-37.686867,-37.913826,-33.48635,-24.880947,-37.522865,-42.207153,-45.80929,-43.881283,-46.65712,-46.301174,-40.955154,-46.7603,-52.1999,-54.720997,-56.555256,-54.30443,-53.875053,-55.587273,-56.110462,-57.96207,-58.09543,-56.682976,-58.84802,-59.679394,-58.92337,-57.550385,-57.950043
608,False,-25.612244,-25.816565,-34.51569,-35.839104,-38.684425,-38.094368,-35.972286,-30.95062,-24.274046,-36.580025,-44.733006,-43.45217,-43.576996,-45.775673,-47.76268,-44.824657,-48.225967,-49.803635,-53.585236,-53.32216,-54.941402,-53.434032,-56.191135,-58.21805,-56.29724,-56.14521,-55.59613,-57.231125,-59.407276,-57.584152,-56.82213,-58.76136
640,False,-25.66245,-27.506058,-37.225826,-36.016556,-36.687653,-37.170143,-34.97143,-34.55888,-27.366247,-39.37759,-43.966084,-42.979702,-38.719387,-43.169907,-44.08259,-45.330185,-50.77584,-53.881,-51.67858,-53.7777,-54.95728,-54.235817,-56.425888,-57.774895,-55.317936,-58.17018,-56.29162,-57.68217,-60.303772,-57.87156,-57.447372,-58.708946
672,False,-29.20998,-27.962578,-34.215424,-35.641247,-39.509148,-41.811234,-39.069916,-31.04218,-23.539822,-37.560856,-40.805244,-42.53748,-43.4234,-46.386486,-45.131516,-41.478123,-47.316505,-49.463905,-48.873238,-48.91358,-50.871853,-51.030594,-52.039635,-53.557785,-53.805145,-54.28432,-55.254166,-56.47823,-57.767998,-58.254425,-58.575634,-59.48764
704,False,-27.950762,-27.52588,-32.625546,-31.391819,-29.327618,-30.913052,-30.860405,-23.571976,-22.340736,-34.259647,-30.722477,-29.261637,-27.77063,-30.57067,-31.897377,-27.9016,-32.482582,-38.206898,-41.6732,-46.729485,-45.881042,-46.313477,-46.064285,-50.693108,-51.579056,-50.811455,-52.433895,-54.917953,-53.248306,-54.60218,-55.673744,-56.921722
736,False,-26.66541,-32.32026,-35.85451,-29.31386,-31.001465,-31.88493,-37.132153,-25.44574,-19.814497,-36.594326,-37.4438,-36.473293,-35.155533,-36.560074,-38.890717,-37.06857,-43.08552,-46.893875,-47.472553,-51.027145,-51.7551,-52.33687,-54.94575,-56.035942,-53.810486,-53.978355,-54.71267,-56.681107,-57.250755,-58.480984,-57.812572,-59.022675
768,False,-25.418139,-26.483688,-36.0683,-30.023376,-29.933819,-32.1197,-35.32967,-25.268915,-18.865553,-35.469276,-40.95748,-37.89193,-39.508736,-38.450897,-43.705326,-40.66042,-45.071503,-49.223145,-51.261463,-52.718277,-51.871796,-53.232483,-55.905376,-55.02544,-53.755894,-55.838966,-54.875504,-57.58499,-58.79355,-59.80293,-57.454018,-56.980785
800,False,-25.44067,-29.30857,-32.92315,-31.275274,-32.631893,-35.674038,-39.913246,-28.154963,-21.23171,-36.44939,-41.008575,-39.862587,-39.850113,-44.420776,-45.42192,-40.79136,-45.877083,-49.862488,-52.44698,-52.464336,-52.63628,-53.36865,-55.921368,-53.845997,-54.00513,-55.536762,-56.187286,-55.386066,-57.74089,-59.459396,-57.883343,-58.396877
832,False,-25.34924,-26.654541,-32.61313,-32.252678,-33.961086,-37.385334,-39.48189,-30.713066,-23.874928,-34.460663,-41.71494,-40.574966,-38.995544,-42.451103,-46.737473,-42.959114,-47.30819,-48.325455,-51.880344,-53.12554,-52.767506,-55.9391,-56.670647,-53.093315,-52.798607,-55.04547,-55.12101,-56.32948,-56.595085,-56.375717,-55.648544,-58.676506
